path,gt,pred
./delfys75\pendulum\pendulum_90\01\01.npy,pendulum,pendulum
./delfys75\pendulum\pendulum_90\02\02.npy,pendulum,pendulum
./delfys75\pendulum\pendulum_90\03\03.npy,pendulum,pendulum
./delfys75\pendulum\pendulum_90\04\04.npy,pendulum,pendulum
./delfys75\pendulum\pendulum_90\05\05.npy,pendulum,pendulum
./delfys75\sliding_block\high\01\01.npy,sliding_block,sliding_block
./delfys75\sliding_block\high\02\02.npy,sliding_block,sliding_block
./delfys75\sliding_block\high\03\03.npy,sliding_block,sliding_block
./delfys75\sliding_block\high\04\04.npy,sliding_block,sliding_block
./delfys75\sliding_block\high\05\05.npy,sliding_block,sliding_block
./delfys75\sliding_block\low\01\01.npy,sliding_block,sliding_block
./delfys75\sliding_block\low\02\02.npy,sliding_block,sliding_block
./delfys75\sliding_block\low\03\03.npy,sliding_block,sliding_block
./delfys75\sliding_block\low\04\04.npy,sliding_block,sliding_block
./delfys75\sliding_block\low\05\05.npy,sliding_block,sliding_block
./delfys75\sliding_block\mid\01\01.npy,sliding_block,sliding_block
./delfys75\sliding_block\mid\02\02.npy,sliding_block,sliding_block
./delfys75\sliding_block\mid\03\03.npy,sliding_block,sliding_block
./delfys75\sliding_block\mid\04\04.npy,sliding_block,sliding_block
./delfys75\sliding_block\mid\05\05.npy,sliding_block,sliding_block
./delfys75\torricelli\large\01\01.npy,torricelli,torricelli
./delfys75\torricelli\large\02\02.npy,torricelli,torricelli
./delfys75\torricelli\large\03\03.npy,torricelli,torricelli
./delfys75\torricelli\large\04\04.npy,torricelli,torricelli
./delfys75\torricelli\large\05\05.npy,torricelli,torricelli
./delfys75\torricelli\medium\01\01.npy,torricelli,torricelli
./delfys75\torricelli\medium\02\02.npy,torricelli,torricelli
./delfys75\torricelli\medium\03\03.npy,torricelli,torricelli
./delfys75\torricelli\medium\04\04.npy,torricelli,torricelli
./delfys75\torricelli\medium\05\05.npy,torricelli,torricelli
./delfys75\torricelli\small\01\01.npy,torricelli,torricelli
./delfys75\torricelli\small\02\02.npy,torricelli,torricelli
./delfys75\torricelli\small\03\03.npy,torricelli,torricelli
./delfys75\torricelli\small\04\04.npy,torricelli,torricelli
./delfys75\torricelli\small\05\05.npy,torricelli,torricelli
